skill_id,skill_name,file_path,line_or_section,content_excerpt,overlap_type,classification,action,target_rag_source_or_field,severity,manual_review_needed,resolution_status
10,废气收集形式审核,09_环评审核技能库/10_废气收集形式审核/SKILL.md,case-experience,类案经验仅用于risk_tags/risk_hints,acceptable_interface_overlap,C_experience_governance,mark_as_heuristic,case_hints.source_type,low,false,explicitly_constrained
11,废气设计风量审核,09_环评审核技能库/11_废气设计风量审核/SKILL.md,interface,检索/核对适用标准或法规库,acceptable_interface_overlap,B_audit_procedure,keep_in_skill,query_template + candidate_domains,low,false,kept_as_runtime_interface
11,废气设计风量审核,09_环评审核技能库/11_废气设计风量审核/SKILL.md,case-experience,类案经验仅用于risk_tags/risk_hints,acceptable_interface_overlap,C_experience_governance,mark_as_heuristic,case_hints.source_type,low,false,explicitly_constrained
12,废气收集效率审核,09_环评审核技能库/12_废气收集效率审核/SKILL.md,interface,检索/核对适用标准或法规库,acceptable_interface_overlap,B_audit_procedure,keep_in_skill,query_template + candidate_domains,low,false,kept_as_runtime_interface
12,废气收集效率审核,09_环评审核技能库/12_废气收集效率审核/SKILL.md,case-experience,类案经验仅用于risk_tags/risk_hints,acceptable_interface_overlap,C_experience_governance,mark_as_heuristic,case_hints.source_type,low,false,explicitly_constrained
13,活性炭参数审核,09_环评审核技能库/13_活性炭参数审核/SKILL.md,interface,检索/核对适用标准或法规库,acceptable_interface_overlap,B_audit_procedure,keep_in_skill,query_template + candidate_domains,low,false,kept_as_runtime_interface
13,活性炭参数审核,09_环评审核技能库/13_活性炭参数审核/SKILL.md,case-experience,类案经验仅用于risk_tags/risk_hints,acceptable_interface_overlap,C_experience_governance,mark_as_heuristic,case_hints.source_type,low,false,explicitly_constrained
14,危险废物识别审核,09_环评审核技能库/14_危险废物识别审核/SKILL.md,interface,检索/核对适用标准或法规库,acceptable_interface_overlap,B_audit_procedure,keep_in_skill,query_template + candidate_domains,low,false,kept_as_runtime_interface
14,危险废物识别审核,09_环评审核技能库/14_危险废物识别审核/SKILL.md,case-experience,类案经验仅用于risk_tags/risk_hints,acceptable_interface_overlap,C_experience_governance,mark_as_heuristic,case_hints.source_type,low,false,explicitly_constrained
15,VOCs总量控制审核,09_环评审核技能库/15_VOCs总量控制审核/SKILL.md,interface,检索/核对适用标准或法规库,acceptable_interface_overlap,B_audit_procedure,keep_in_skill,query_template + candidate_domains,low,false,kept_as_runtime_interface
15,VOCs总量控制审核,09_环评审核技能库/15_VOCs总量控制审核/SKILL.md,case-experience,类案经验仅用于risk_tags/risk_hints,acceptable_interface_overlap,C_experience_governance,mark_as_heuristic,case_hints.source_type,low,false,explicitly_constrained
99,总审核汇总,09_环评审核技能库/99_总审核汇总/SKILL.md,full-file-scan,汇总层扫描；不参与单题生成；风险标记=none,summary_boundary_check,B_audit_orchestration,keep_summary_only,formal_skill_registry.role,low,false,boundary_confirmed
