question_id,project_id,audit_domain,cognitive_level,reasoning_type,primary_functional_capability,secondary_capabilities,knowledge_dependency,workflow_dependency,evidence_span,template_default_used,override_reason,classification_status,taxonomy_version,source_category,source_manual_check,source_manual_judgement,source_needs_human_review,taxonomy_review_required,taxonomy_review_reason
PL002_Emission_噪声,PL002,noise_emission_standard,L2_application,rule_applicability,basis_grounding,"[""report_grounding""]",high,medium,report_plus_external,True,,auto_default,v1,噪声排放标准,False,无误,否,False,
PL002_Emission_固体,PL002,solid_waste_standard,L2_application,rule_applicability,basis_grounding,"[""report_grounding""]",high,medium,report_plus_external,True,,auto_default,v1,固体废物控制标准,False,无误,否,False,
PL003_V01_Q01,PL003,industry_classification,L3_analysis,multi_evidence_synthesis,evidence_integration,"[""report_grounding"", ""basis_grounding""]",high,high,cross_section,True,,auto_default,v1,国民经济行业分类,True,112,否,True,人工判断格式异常
PL003_V01_Q03,PL003,environmental_investment,L2_application,quantitative_verification,numerical_accuracy,"[""report_grounding"", ""procedural_reasoning""]",low,medium,cross_section,True,,auto_default,v1,环评投资概算,False,正确,否,False,
PL003_EnvQuality_Q01,PL003,environmental_quality_data,L3_analysis,consistency_comparison,evidence_integration,"[""report_grounding"", ""basis_grounding""]",high,high,report_plus_external,True,,auto_default,v1,环境质量数据引用,False,正确,是,True,源工作簿标记需人工复核
PL003_Emission_水污,PL003,water_emission_standard,L3_analysis,rule_applicability,basis_grounding,"[""report_grounding"", ""procedural_reasoning""]",high,high,report_plus_external,True,,auto_default,v1,水污染物排放标准,False,无误,否,False,
PL003_Emission_大气,PL003,air_emission_standard,L3_analysis,multi_evidence_synthesis,basis_grounding,"[""report_grounding"", ""evidence_integration""]",high,high,report_plus_external,True,,auto_default,v1,大气污染物排放标准,False,存在错误,是,True,源工作簿标记需人工复核
PL003_Emission_噪声,PL003,noise_emission_standard,L2_application,rule_applicability,basis_grounding,"[""report_grounding""]",high,medium,report_plus_external,True,,auto_default,v1,噪声排放标准,False,无误,否,False,
PL003_Emission_固体,PL003,solid_waste_standard,L2_application,rule_applicability,basis_grounding,"[""report_grounding""]",high,medium,report_plus_external,True,,auto_default,v1,固体废物控制标准,False,无误,否,False,
PL004_V01_Q01,PL004,industry_classification,L3_analysis,multi_evidence_synthesis,evidence_integration,"[""report_grounding"", ""basis_grounding""]",high,high,cross_section,True,,auto_default,v1,国民经济行业分类,True,112,否,True,人工判断格式异常
PL004_V01_Q03,PL004,environmental_investment,L2_application,quantitative_verification,numerical_accuracy,"[""report_grounding"", ""procedural_reasoning""]",low,medium,cross_section,True,,auto_default,v1,环评投资概算,False,需复核,是,True,源工作簿标记需人工复核
PL004_EnvQuality_Q01,PL004,environmental_quality_data,L3_analysis,consistency_comparison,evidence_integration,"[""report_grounding"", ""basis_grounding""]",high,high,report_plus_external,True,,auto_default,v1,环境质量数据引用,False,正确,是,True,源工作簿标记需人工复核
PL004_Emission_水污,PL004,water_emission_standard,L3_analysis,rule_applicability,basis_grounding,"[""report_grounding"", ""procedural_reasoning""]",high,high,report_plus_external,True,,auto_default,v1,水污染物排放标准,False,无误,否,False,
PL004_Emission_大气,PL004,air_emission_standard,L3_analysis,multi_evidence_synthesis,basis_grounding,"[""report_grounding"", ""evidence_integration""]",high,high,report_plus_external,True,,auto_default,v1,大气污染物排放标准,False,存在缺漏,是,True,源工作簿标记需人工复核
PL004_Emission_噪声,PL004,noise_emission_standard,L2_application,rule_applicability,basis_grounding,"[""report_grounding""]",high,medium,report_plus_external,True,,auto_default,v1,噪声排放标准,False,无误,否,False,
PL004_Emission_固体,PL004,solid_waste_standard,L2_application,rule_applicability,basis_grounding,"[""report_grounding""]",high,medium,report_plus_external,True,,auto_default,v1,固体废物控制标准,False,无误,否,False,
PL005_EnvQuality_Q01,PL005,environmental_quality_data,L3_analysis,consistency_comparison,evidence_integration,"[""report_grounding"", ""basis_grounding""]",high,high,report_plus_external,True,,auto_default,v1,环境质量数据引用,False,正确,是,True,源工作簿标记需人工复核
PL005_Emission_水污,PL005,water_emission_standard,L3_analysis,rule_applicability,basis_grounding,"[""report_grounding"", ""procedural_reasoning""]",high,high,report_plus_external,True,,auto_default,v1,水污染物排放标准,False,无误,否,False,
PL005_Emission_大气,PL005,air_emission_standard,L3_analysis,multi_evidence_synthesis,basis_grounding,"[""report_grounding"", ""evidence_integration""]",high,high,report_plus_external,True,,auto_default,v1,大气污染物排放标准,False,存在缺漏,是,True,源工作簿标记需人工复核
PL005_Emission_噪声,PL005,noise_emission_standard,L2_application,rule_applicability,basis_grounding,"[""report_grounding""]",high,medium,report_plus_external,True,,auto_default,v1,噪声排放标准,False,无误,否,False,
PL005_Emission_固体,PL005,solid_waste_standard,L2_application,rule_applicability,basis_grounding,"[""report_grounding""]",high,medium,report_plus_external,True,,auto_default,v1,固体废物控制标准,False,无误,否,False,
PL006_EnvQuality_Q01,PL006,environmental_quality_data,L3_analysis,consistency_comparison,evidence_integration,"[""report_grounding"", ""basis_grounding""]",high,high,report_plus_external,True,,auto_default,v1,环境质量数据引用,False,正确,是,True,源工作簿标记需人工复核
PL006_Emission_水污,PL006,water_emission_standard,L3_analysis,rule_applicability,basis_grounding,"[""report_grounding"", ""procedural_reasoning""]",high,high,report_plus_external,True,,auto_default,v1,水污染物排放标准,False,存在缺漏,是,True,源工作簿标记需人工复核
PL006_Emission_大气,PL006,air_emission_standard,L3_analysis,multi_evidence_synthesis,basis_grounding,"[""report_grounding"", ""evidence_integration""]",high,high,report_plus_external,True,,auto_default,v1,大气污染物排放标准,False,存在缺漏,是,True,源工作簿标记需人工复核
PL006_Emission_噪声,PL006,noise_emission_standard,L2_application,rule_applicability,basis_grounding,"[""report_grounding""]",high,medium,report_plus_external,True,,auto_default,v1,噪声排放标准,False,存在缺漏,是,True,源工作簿标记需人工复核
PL006_Emission_固体,PL006,solid_waste_standard,L2_application,rule_applicability,basis_grounding,"[""report_grounding""]",high,medium,report_plus_external,True,,auto_default,v1,固体废物控制标准,False,无误,否,False,
PL007_EnvQuality_Q01,PL007,environmental_quality_data,L3_analysis,consistency_comparison,evidence_integration,"[""report_grounding"", ""basis_grounding""]",high,high,report_plus_external,True,,auto_default,v1,环境质量数据引用,False,无法判断,是,True,源工作簿标记需人工复核
PL007_Emission_水污,PL007,water_emission_standard,L3_analysis,rule_applicability,basis_grounding,"[""report_grounding"", ""procedural_reasoning""]",high,high,report_plus_external,True,,auto_default,v1,水污染物排放标准,False,无误,否,False,
PL007_Emission_大气,PL007,air_emission_standard,L3_analysis,multi_evidence_synthesis,basis_grounding,"[""report_grounding"", ""evidence_integration""]",high,high,report_plus_external,True,,auto_default,v1,大气污染物排放标准,False,无误,否,False,
PL007_Emission_噪声,PL007,noise_emission_standard,L2_application,rule_applicability,basis_grounding,"[""report_grounding""]",high,medium,report_plus_external,True,,auto_default,v1,噪声排放标准,False,无误,否,False,
PL007_Emission_固体,PL007,solid_waste_standard,L2_application,rule_applicability,basis_grounding,"[""report_grounding""]",high,medium,report_plus_external,True,,auto_default,v1,固体废物控制标准,False,无误,否,False,
PL008_EnvQuality_Q01,PL008,environmental_quality_data,L3_analysis,consistency_comparison,evidence_integration,"[""report_grounding"", ""basis_grounding""]",high,high,report_plus_external,True,,auto_default,v1,环境质量数据引用,False,正确,是,True,源工作簿标记需人工复核
PL008_Emission_水污,PL008,water_emission_standard,L3_analysis,rule_applicability,basis_grounding,"[""report_grounding"", ""procedural_reasoning""]",high,high,report_plus_external,True,,auto_default,v1,水污染物排放标准,False,无误,否,False,
PL008_Emission_大气,PL008,air_emission_standard,L3_analysis,multi_evidence_synthesis,basis_grounding,"[""report_grounding"", ""evidence_integration""]",high,high,report_plus_external,True,,auto_default,v1,大气污染物排放标准,False,无误,否,False,
PL008_Emission_噪声,PL008,noise_emission_standard,L2_application,rule_applicability,basis_grounding,"[""report_grounding""]",high,medium,report_plus_external,True,,auto_default,v1,噪声排放标准,False,无误,否,False,
PL008_Emission_固体,PL008,solid_waste_standard,L2_application,rule_applicability,basis_grounding,"[""report_grounding""]",high,medium,report_plus_external,True,,auto_default,v1,固体废物控制标准,False,无误,否,False,
PL009_EnvQuality_Q01,PL009,environmental_quality_data,L3_analysis,consistency_comparison,evidence_integration,"[""report_grounding"", ""basis_grounding""]",high,high,report_plus_external,True,,auto_default,v1,环境质量数据引用,False,正确,是,True,源工作簿标记需人工复核
PL009_Emission_水污,PL009,water_emission_standard,L3_analysis,rule_applicability,basis_grounding,"[""report_grounding"", ""procedural_reasoning""]",high,high,report_plus_external,True,,auto_default,v1,水污染物排放标准,False,无误,否,False,
PL009_Emission_大气,PL009,air_emission_standard,L3_analysis,multi_evidence_synthesis,basis_grounding,"[""report_grounding"", ""evidence_integration""]",high,high,report_plus_external,True,,auto_default,v1,大气污染物排放标准,False,存在错误,是,True,源工作簿标记需人工复核
PL009_Emission_噪声,PL009,noise_emission_standard,L2_application,rule_applicability,basis_grounding,"[""report_grounding""]",high,medium,report_plus_external,True,,auto_default,v1,噪声排放标准,False,无误,否,False,
PL009_Emission_固体,PL009,solid_waste_standard,L2_application,rule_applicability,basis_grounding,"[""report_grounding""]",high,medium,report_plus_external,True,,auto_default,v1,固体废物控制标准,False,无误,否,False,
PL010_EnvQuality_Q01,PL010,environmental_quality_data,L3_analysis,consistency_comparison,evidence_integration,"[""report_grounding"", ""basis_grounding""]",high,high,report_plus_external,True,,auto_default,v1,环境质量数据引用,False,正确,是,True,源工作簿标记需人工复核
PL010_Emission_水污,PL010,water_emission_standard,L3_analysis,rule_applicability,basis_grounding,"[""report_grounding"", ""procedural_reasoning""]",high,high,report_plus_external,True,,auto_default,v1,水污染物排放标准,False,存在缺漏,是,True,源工作簿标记需人工复核
PL010_Emission_大气,PL010,air_emission_standard,L3_analysis,multi_evidence_synthesis,basis_grounding,"[""report_grounding"", ""evidence_integration""]",high,high,report_plus_external,True,,auto_default,v1,大气污染物排放标准,False,存在缺漏,是,True,源工作簿标记需人工复核
PL010_Emission_噪声,PL010,noise_emission_standard,L2_application,rule_applicability,basis_grounding,"[""report_grounding""]",high,medium,report_plus_external,True,,auto_default,v1,噪声排放标准,False,存在缺漏,是,True,源工作簿标记需人工复核
PL010_Emission_固体,PL010,solid_waste_standard,L2_application,rule_applicability,basis_grounding,"[""report_grounding""]",high,medium,report_plus_external,True,,auto_default,v1,固体废物控制标准,False,无误,否,False,
PL011_EnvQuality_Q01,PL011,environmental_quality_data,L3_analysis,consistency_comparison,evidence_integration,"[""report_grounding"", ""basis_grounding""]",high,high,report_plus_external,True,,auto_default,v1,环境质量数据引用,False,正确,是,True,源工作簿标记需人工复核
PL011_Emission_水污,PL011,water_emission_standard,L3_analysis,rule_applicability,basis_grounding,"[""report_grounding"", ""procedural_reasoning""]",high,high,report_plus_external,True,,auto_default,v1,水污染物排放标准,False,无误,否,False,
PL011_Emission_大气,PL011,air_emission_standard,L3_analysis,multi_evidence_synthesis,basis_grounding,"[""report_grounding"", ""evidence_integration""]",high,high,report_plus_external,True,,auto_default,v1,大气污染物排放标准,False,无误,否,False,
PL011_Emission_噪声,PL011,noise_emission_standard,L2_application,rule_applicability,basis_grounding,"[""report_grounding""]",high,medium,report_plus_external,True,,auto_default,v1,噪声排放标准,False,无误,否,False,
PL011_Emission_固体,PL011,solid_waste_standard,L2_application,rule_applicability,basis_grounding,"[""report_grounding""]",high,medium,report_plus_external,True,,auto_default,v1,固体废物控制标准,False,无误,否,False,
PL012_EnvQuality_Q01,PL012,environmental_quality_data,L3_analysis,consistency_comparison,evidence_integration,"[""report_grounding"", ""basis_grounding""]",high,high,report_plus_external,True,,auto_default,v1,环境质量数据引用,False,不正确,是,True,源工作簿标记需人工复核
PL012_Emission_水污,PL012,water_emission_standard,L3_analysis,rule_applicability,basis_grounding,"[""report_grounding"", ""procedural_reasoning""]",high,high,report_plus_external,True,,auto_default,v1,水污染物排放标准,False,需复核,是,True,源工作簿标记需人工复核
PL012_Emission_大气,PL012,air_emission_standard,L3_analysis,multi_evidence_synthesis,basis_grounding,"[""report_grounding"", ""evidence_integration""]",high,high,report_plus_external,True,,auto_default,v1,大气污染物排放标准,False,存在缺漏,是,True,源工作簿标记需人工复核
PL012_Emission_噪声,PL012,noise_emission_standard,L2_application,rule_applicability,basis_grounding,"[""report_grounding""]",high,medium,report_plus_external,True,,auto_default,v1,噪声排放标准,False,无误,否,False,
PL012_Emission_固体,PL012,solid_waste_standard,L2_application,rule_applicability,basis_grounding,"[""report_grounding""]",high,medium,report_plus_external,True,,auto_default,v1,固体废物控制标准,False,无误,否,False,
PL013_EnvQuality_Q01,PL013,environmental_quality_data,L3_analysis,consistency_comparison,evidence_integration,"[""report_grounding"", ""basis_grounding""]",high,high,report_plus_external,True,,auto_default,v1,环境质量数据引用,False,正确,是,True,源工作簿标记需人工复核
PL013_Emission_水污,PL013,water_emission_standard,L3_analysis,rule_applicability,basis_grounding,"[""report_grounding"", ""procedural_reasoning""]",high,high,report_plus_external,True,,auto_default,v1,水污染物排放标准,False,需复核,是,True,源工作簿标记需人工复核
PL013_Emission_大气,PL013,air_emission_standard,L3_analysis,multi_evidence_synthesis,basis_grounding,"[""report_grounding"", ""evidence_integration""]",high,high,report_plus_external,True,,auto_default,v1,大气污染物排放标准,False,需复核,是,True,源工作簿标记需人工复核
PL013_Emission_噪声,PL013,noise_emission_standard,L2_application,rule_applicability,basis_grounding,"[""report_grounding""]",high,medium,report_plus_external,True,,auto_default,v1,噪声排放标准,False,无误,否,False,
PL013_Emission_固体,PL013,solid_waste_standard,L2_application,rule_applicability,basis_grounding,"[""report_grounding""]",high,medium,report_plus_external,True,,auto_default,v1,固体废物控制标准,False,无误,否,False,
PL014_EnvQuality_Q01,PL014,environmental_quality_data,L3_analysis,consistency_comparison,evidence_integration,"[""report_grounding"", ""basis_grounding""]",high,high,report_plus_external,True,,auto_default,v1,环境质量数据引用,False,不正确,是,True,源工作簿标记需人工复核
PL014_Emission_水污,PL014,water_emission_standard,L3_analysis,rule_applicability,basis_grounding,"[""report_grounding"", ""procedural_reasoning""]",high,high,report_plus_external,True,,auto_default,v1,水污染物排放标准,False,无法判断,是,True,源工作簿标记需人工复核
PL014_Emission_大气,PL014,air_emission_standard,L3_analysis,multi_evidence_synthesis,basis_grounding,"[""report_grounding"", ""evidence_integration""]",high,high,report_plus_external,True,,auto_default,v1,大气污染物排放标准,False,需复核,是,True,源工作簿标记需人工复核
PL014_Emission_噪声,PL014,noise_emission_standard,L2_application,rule_applicability,basis_grounding,"[""report_grounding""]",high,medium,report_plus_external,True,,auto_default,v1,噪声排放标准,False,需复核,是,True,源工作簿标记需人工复核
PL014_Emission_固体,PL014,solid_waste_standard,L2_application,rule_applicability,basis_grounding,"[""report_grounding""]",high,medium,report_plus_external,True,,auto_default,v1,固体废物控制标准,False,无误,否,False,
PL015_EnvQuality_Q01,PL015,environmental_quality_data,L3_analysis,consistency_comparison,evidence_integration,"[""report_grounding"", ""basis_grounding""]",high,high,report_plus_external,True,,auto_default,v1,环境质量数据引用,False,无法判断,是,True,源工作簿标记需人工复核
PL015_Emission_水污,PL015,water_emission_standard,L3_analysis,rule_applicability,basis_grounding,"[""report_grounding"", ""procedural_reasoning""]",high,high,report_plus_external,True,,auto_default,v1,水污染物排放标准,False,需复核,是,True,源工作簿标记需人工复核
PL015_Emission_大气,PL015,air_emission_standard,L3_analysis,multi_evidence_synthesis,basis_grounding,"[""report_grounding"", ""evidence_integration""]",high,high,report_plus_external,True,,auto_default,v1,大气污染物排放标准,False,存在缺漏,是,True,源工作簿标记需人工复核
PL015_Emission_噪声,PL015,noise_emission_standard,L2_application,rule_applicability,basis_grounding,"[""report_grounding""]",high,medium,report_plus_external,True,,auto_default,v1,噪声排放标准,False,无误,否,False,
PL015_Emission_固体,PL015,solid_waste_standard,L2_application,rule_applicability,basis_grounding,"[""report_grounding""]",high,medium,report_plus_external,True,,auto_default,v1,固体废物控制标准,False,无误,否,False,
PL018_V01_Q01,PL018,industry_classification,L3_analysis,multi_evidence_synthesis,evidence_integration,"[""report_grounding"", ""basis_grounding""]",high,high,cross_section,True,,auto_default,v1,国民经济行业分类,True,,是,True,人工判断为空；源工作簿标记需人工复核
PL018_V01_Q03,PL018,environmental_investment,L2_application,quantitative_verification,numerical_accuracy,"[""report_grounding"", ""procedural_reasoning""]",low,medium,cross_section,True,,auto_default,v1,环评投资概算,False,需复核,是,True,源工作簿标记需人工复核
PL018_EnvQuality_Q01,PL018,environmental_quality_data,L3_analysis,consistency_comparison,evidence_integration,"[""report_grounding"", ""basis_grounding""]",high,high,report_plus_external,True,,auto_default,v1,环境质量数据引用,False,正确,是,True,源工作簿标记需人工复核
PL018_Emission_水污,PL018,water_emission_standard,L3_analysis,rule_applicability,basis_grounding,"[""report_grounding"", ""procedural_reasoning""]",high,high,report_plus_external,True,,auto_default,v1,水污染物排放标准,False,需复核,是,True,源工作簿标记需人工复核
PL018_Emission_大气,PL018,air_emission_standard,L3_analysis,multi_evidence_synthesis,basis_grounding,"[""report_grounding"", ""evidence_integration""]",high,high,report_plus_external,True,,auto_default,v1,大气污染物排放标准,False,需复核,是,True,源工作簿标记需人工复核
PL018_Emission_噪声,PL018,noise_emission_standard,L2_application,rule_applicability,basis_grounding,"[""report_grounding""]",high,medium,report_plus_external,True,,auto_default,v1,噪声排放标准,False,无法判断,是,True,源工作簿标记需人工复核
PL018_Emission_固体,PL018,solid_waste_standard,L2_application,rule_applicability,basis_grounding,"[""report_grounding""]",high,medium,report_plus_external,True,,auto_default,v1,固体废物控制标准,False,无误,否,False,
PL019_V01_Q01,PL019,industry_classification,L3_analysis,multi_evidence_synthesis,evidence_integration,"[""report_grounding"", ""basis_grounding""]",high,high,cross_section,True,,auto_default,v1,国民经济行业分类,True,,是,True,人工判断为空；源工作簿标记需人工复核
PL019_V01_Q03,PL019,environmental_investment,L2_application,quantitative_verification,numerical_accuracy,"[""report_grounding"", ""procedural_reasoning""]",low,medium,cross_section,True,,auto_default,v1,环评投资概算,False,正确,否,False,
PL019_EnvQuality_Q01,PL019,environmental_quality_data,L3_analysis,consistency_comparison,evidence_integration,"[""report_grounding"", ""basis_grounding""]",high,high,report_plus_external,True,,auto_default,v1,环境质量数据引用,False,正确,是,True,源工作簿标记需人工复核
PL019_Emission_水污,PL019,water_emission_standard,L3_analysis,rule_applicability,basis_grounding,"[""report_grounding"", ""procedural_reasoning""]",high,high,report_plus_external,True,,auto_default,v1,水污染物排放标准,False,需复核,是,True,源工作簿标记需人工复核
PL019_Emission_大气,PL019,air_emission_standard,L3_analysis,multi_evidence_synthesis,basis_grounding,"[""report_grounding"", ""evidence_integration""]",high,high,report_plus_external,True,,auto_default,v1,大气污染物排放标准,False,需复核,是,True,源工作簿标记需人工复核
PL019_Emission_噪声,PL019,noise_emission_standard,L2_application,rule_applicability,basis_grounding,"[""report_grounding""]",high,medium,report_plus_external,True,,auto_default,v1,噪声排放标准,False,无法判断,是,True,源工作簿标记需人工复核
PL019_Emission_固体,PL019,solid_waste_standard,L2_application,rule_applicability,basis_grounding,"[""report_grounding""]",high,medium,report_plus_external,True,,auto_default,v1,固体废物控制标准,False,无误,否,False,
PL020_V01_Q01,PL020,industry_classification,L3_analysis,multi_evidence_synthesis,evidence_integration,"[""report_grounding"", ""basis_grounding""]",high,high,cross_section,True,,auto_default,v1,国民经济行业分类,True,,是,True,人工判断为空；源工作簿标记需人工复核
PL020_V01_Q03,PL020,environmental_investment,L2_application,quantitative_verification,numerical_accuracy,"[""report_grounding"", ""procedural_reasoning""]",low,medium,cross_section,True,,auto_default,v1,环评投资概算,False,需复核,是,True,源工作簿标记需人工复核
PL020_EnvQuality_Q01,PL020,environmental_quality_data,L3_analysis,consistency_comparison,evidence_integration,"[""report_grounding"", ""basis_grounding""]",high,high,report_plus_external,True,,auto_default,v1,环境质量数据引用,False,正确,是,True,源工作簿标记需人工复核
PL020_Emission_水污,PL020,water_emission_standard,L3_analysis,rule_applicability,basis_grounding,"[""report_grounding"", ""procedural_reasoning""]",high,high,report_plus_external,True,,auto_default,v1,水污染物排放标准,False,存在缺漏,是,True,源工作簿标记需人工复核
PL020_Emission_大气,PL020,air_emission_standard,L3_analysis,multi_evidence_synthesis,basis_grounding,"[""report_grounding"", ""evidence_integration""]",high,high,report_plus_external,True,,auto_default,v1,大气污染物排放标准,False,存在缺漏,是,True,源工作簿标记需人工复核
PL020_Emission_噪声,PL020,noise_emission_standard,L2_application,rule_applicability,basis_grounding,"[""report_grounding""]",high,medium,report_plus_external,True,,auto_default,v1,噪声排放标准,False,存在缺漏,是,True,源工作簿标记需人工复核
PL020_Emission_固体,PL020,solid_waste_standard,L2_application,rule_applicability,basis_grounding,"[""report_grounding""]",high,medium,report_plus_external,True,,auto_default,v1,固体废物控制标准,False,无误,否,False,
PL021_V01_Q01,PL021,industry_classification,L3_analysis,multi_evidence_synthesis,evidence_integration,"[""report_grounding"", ""basis_grounding""]",high,high,cross_section,True,,auto_default,v1,国民经济行业分类,True,,是,True,人工判断为空；源工作簿标记需人工复核
PL021_V01_Q03,PL021,environmental_investment,L2_application,quantitative_verification,numerical_accuracy,"[""report_grounding"", ""procedural_reasoning""]",low,medium,cross_section,True,,auto_default,v1,环评投资概算,False,正确,否,False,
PL021_EnvQuality_Q01,PL021,environmental_quality_data,L3_analysis,consistency_comparison,evidence_integration,"[""report_grounding"", ""basis_grounding""]",high,high,report_plus_external,True,,auto_default,v1,环境质量数据引用,False,不正确,是,True,源工作簿标记需人工复核
PL021_Emission_水污,PL021,water_emission_standard,L3_analysis,rule_applicability,basis_grounding,"[""report_grounding"", ""procedural_reasoning""]",high,high,report_plus_external,True,,auto_default,v1,水污染物排放标准,False,存在缺漏,是,True,源工作簿标记需人工复核
PL021_Emission_大气,PL021,air_emission_standard,L3_analysis,multi_evidence_synthesis,basis_grounding,"[""report_grounding"", ""evidence_integration""]",high,high,report_plus_external,True,,auto_default,v1,大气污染物排放标准,False,存在缺漏,是,True,源工作簿标记需人工复核
PL021_Emission_噪声,PL021,noise_emission_standard,L2_application,rule_applicability,basis_grounding,"[""report_grounding""]",high,medium,report_plus_external,True,,auto_default,v1,噪声排放标准,False,存在缺漏,是,True,源工作簿标记需人工复核
PL021_Emission_固体,PL021,solid_waste_standard,L2_application,rule_applicability,basis_grounding,"[""report_grounding""]",high,medium,report_plus_external,True,,auto_default,v1,固体废物控制标准,False,无误,否,False,
PL022_V01_Q01,PL022,industry_classification,L3_analysis,multi_evidence_synthesis,evidence_integration,"[""report_grounding"", ""basis_grounding""]",high,high,cross_section,True,,auto_default,v1,国民经济行业分类,True,,是,True,人工判断为空；源工作簿标记需人工复核
PL022_V01_Q03,PL022,environmental_investment,L2_application,quantitative_verification,numerical_accuracy,"[""report_grounding"", ""procedural_reasoning""]",low,medium,cross_section,True,,auto_default,v1,环评投资概算,False,需复核,是,True,源工作簿标记需人工复核
PL022_EnvQuality_Q01,PL022,environmental_quality_data,L3_analysis,consistency_comparison,evidence_integration,"[""report_grounding"", ""basis_grounding""]",high,high,report_plus_external,True,,auto_default,v1,环境质量数据引用,False,需修正,是,True,源工作簿标记需人工复核
PL022_Emission_水污,PL022,water_emission_standard,L3_analysis,rule_applicability,basis_grounding,"[""report_grounding"", ""procedural_reasoning""]",high,high,report_plus_external,True,,auto_default,v1,水污染物排放标准,False,存在缺漏,是,True,源工作簿标记需人工复核
PL022_Emission_大气,PL022,air_emission_standard,L3_analysis,multi_evidence_synthesis,basis_grounding,"[""report_grounding"", ""evidence_integration""]",high,high,report_plus_external,True,,auto_default,v1,大气污染物排放标准,False,存在缺漏,是,True,源工作簿标记需人工复核
PL022_Emission_噪声,PL022,noise_emission_standard,L2_application,rule_applicability,basis_grounding,"[""report_grounding""]",high,medium,report_plus_external,True,,auto_default,v1,噪声排放标准,False,存在缺漏,是,True,源工作簿标记需人工复核
PL022_Emission_固体,PL022,solid_waste_standard,L2_application,rule_applicability,basis_grounding,"[""report_grounding""]",high,medium,report_plus_external,True,,auto_default,v1,固体废物控制标准,False,无误,否,False,
PL023_V01_Q01,PL023,industry_classification,L3_analysis,multi_evidence_synthesis,evidence_integration,"[""report_grounding"", ""basis_grounding""]",high,high,cross_section,True,,auto_default,v1,国民经济行业分类,True,,是,True,人工判断为空；源工作簿标记需人工复核
PL023_V01_Q03,PL023,environmental_investment,L2_application,quantitative_verification,numerical_accuracy,"[""report_grounding"", ""procedural_reasoning""]",low,medium,cross_section,True,,auto_default,v1,环评投资概算,False,正确,否,False,
